Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
7173,!! IT ASSEMBLY (LD),CF 140L,,,34.76
22678,LIGHT GUIDE CONNECTOR,Flat Connector Board - CYF-V / V2 / VA2 / ENF-V2,ENF-VT2 / URF-V,,1095.00
18423,Phoenix Products,"10' (3.0M) MONOPOLAR CORD, VALLEYLAB STYLE GENERATOR TO A STANDARD SCREW-O",TSI-145005,,20.39
21989,Phoenix Products,"3K ROUND KNIFE HANDLE, BEAVER-TYPE, ROUND KNURLED HANDLE",TSI-656-713105,"MINI BLADES (series 50,60,70); 4 in (102 mm)",18.00
18427,Phoenix Products,ADAIR -ALLIS TISS FCP 9 X 10,TSI-105-59610,,0.00
18437,Phoenix Products,ADSON CEREBELLAR RETRACTOR,TSI-79-71357,4 x4; Angled; 7 1/2 in (190 mm),46.57
18438,Phoenix Products,"ADSON CEREBELLAR RETRACTOR 4X4 SHARP 7 1/2""",TSI-79-71356,,43.36
18445,Phoenix Products,ADSON DISSECTING HOOK BLUNT,TSI-813-65116,,17.80
18446,Phoenix Products,ADSON DISSECTING HOOK SHARP,TSI-813-65115,,41.33
18449,Phoenix Products,ADSON DRESSING FORCEP,TSI-511-7567,Standard pattern; Serrated; 4 3/4 in (121 mm),4.05
18451,Phoenix Products,ADSON DRESSING FORCEPS,TSI-85-661310,Standard; 1.2 mm; 4 3/4 in (121 mm),8.75
18452,Phoenix Products,"ADSON DURA & NERVE HOOK BLUNT 8""",TSI-75-71278,"Blunt, 3mm Tip; 8 in (200 mm)",19.75
18463,Phoenix Products,ADSON RETRACTOR 3 X 3 SHARP,TSI-105-68117,,149.64
18466,Phoenix Products,ADSON SUCTION TUBE CURVED,TSI-125-66911,,17.10
22378,Phoenix Products,ADSON THUMB FORCEP,TSI-87-10510,"TC, Dressing, Smooth Platform, Delicate; 4 3/4 in (121 mm)",50.85
18470,Phoenix Products,ADSON TISSUE FORCEP,TSI-511-7667,1x2 teeth; 4 3/4 IN (121 mm),4.35
18471,Phoenix Products,ADSON TISSUE FORCEP,TSI-85-97613,1 X 2 TEETH; 4 3/4 in (121 mm),9.60
18472,Phoenix Products,ADSON TISSUE FORCEP,TSI-85-661311,1x2 teeth; 4 3/4 in (121mm),7.89
18473,Phoenix Products,ADSON TISSUE FORCEP,TSI-85-661312,2 x 3 teeth; 1.8 mm tip; 4 3/4 in (121 mm),19.00
18469,Phoenix Products,"ADSON TISSUE FORCEP 1X2 SERRATED 4 3/4""",TSI-511-7668,,4.35
18474,Phoenix Products,"ADSON TISSUE FORCEPS 2 X 3 TEETH, 3MM TIP, 7""",TSI-85-661313,,24.35
18476,Phoenix Products,"ADSON-BROWN TISSUE FORCEPS, 1.7MM TIP, 5""",TSI-85-661314,,11.61
22121,Phoenix Products,ALEXANDER GOUGE,TSI-713-713511,6 mm; 7 in (180 mm),40.35
18482,Phoenix Products,"ALLIS CLASSIC DELICATE TISSUE FORCEPS, 5X6 TEETH, 5""",TSI-85-991111,,45.00
18489,Phoenix Products,ALLIS TISSUE FORCEPS 4 X 5 TEETH,TSI-87-12555,,9.35
18495,Phoenix Products,"ALLIS TISSUE FORCEPS 5X6 TEETH 10""",TSI-105-5779,,17.90
22555,Phoenix Products,"ALLIS TISSUE FORCEPS 6"" 4X5 TEETH TITANIUM",TSI-105-57610T,,368.52
18497,Phoenix Products,"ALLIS TISSUE FORCEPS 6"" 5X6 TEETH",TSI-105-57611,,11.29
18500,Phoenix Products,"ALLIS-ADAIR TISSUE FORCEPS 9X10 TEETH, 6""",TSI-85-91097,,38.10
18506,Phoenix Products,"ALM RETRACTOR 4X4 BLUNT 2 3/4""",TSI-79-65513,,24.08
22567,Phoenix Products,ANIS PHACO CHOPPER HOOK LEFT,TSI-K58-7888,,330.26
22568,Phoenix Products,ANIS PHACO CHOPPER HOOK RIGHT,TSI-K58-7887,,330.26
